text,label
"This product is amazing! I love it.",positive
"Worst purchase ever. Don't buy this.",negative
"It's okay, but not worth the price.",neutral
"Great quality and fast shipping.",positive
"Broke after one week of use.",negative
"Decent product for the price.",neutral
"Absolutely love this product! Will buy again.",positive
"Terrible customer service and product quality.",negative
"It works as expected, nothing special.",neutral
"Best purchase I've made this year!",positive
"Complete waste of money.",negative
"It's fine, does what it's supposed to do.",neutral
"Exceeded my expectations in every way.",positive
"Disappointed with the quality.",negative
"Average product, average performance.",neutral
